pelvis_x,pelvis_y,pelvis_z,L5_x,L5_y,L5_z,L3_x,L3_y,L3_z,T12_x,T12_y,T12_z,T8_x,T8_y,T8_z,neck_x,neck_y,neck_z,head_x,head_y,head_z,shoulderRight_x,shoulderRight_y,shoulderRight_z,upperArmRight_x,upperArmRight_y,upperArmRight_z,forearmRight_x,forearmRight_y,forearmRight_z,handRight_x,handRight_y,handRight_z,shoulderLeft_x,shoulderLeft_y,shoulderLeft_z,upperArmLeft_x,upperArmLeft_y,upperArmLeft_z,forearmLeft_x,forearmLeft_y,forearmLeft_z,handLeft_x,handLeft_y,handLeft_z,upperLegRight_x,upperLegRight_y,upperLegRight_z,lowerLegRight_x,lowerLegRight_y,lowerLegRight_z,footRight_x,footRight_y,footRight_z,toeRight_x,toeRight_y,toeRight_z,upperLegLeft_x,upperLegLeft_y,upperLegLeft_z,lowerLegLeft_x,lowerLegLeft_y,lowerLegLeft_z,footLeft_x,footLeft_y,footLeft_z,toeLeft_x,toeLeft_y,toeLeft_z
2.374776,4.399008,0.940542,2.375671,4.393509,1.036537,2.368666,4.378746,1.139832,2.368746,4.372575,1.235148,2.368703,4.366346,1.330355,2.358805,4.347084,1.464803,2.341061,4.320118,1.559689,2.339938,4.377238,1.407563,2.234929,4.485929,1.397688,2.245358,4.567074,1.130282,2.234908,4.6426,0.903786,2.386535,4.333724,1.404765,2.498417,4.234722,1.379876,2.558733,4.25855,1.107865,2.531157,4.212561,0.874978,2.314169,4.450421,0.944689,2.188897,4.386321,0.566498,2.349879,4.595321,0.219197,2.3016,4.572819,0.048746,2.435392,4.347526,0.937617,2.436475,4.342431,0.534107,2.470207,4.378274,0.100737,2.355653,4.257237,0.018534
2.363129,4.37909,0.941123,2.364183,4.373087,1.037087,2.357183,4.358008,1.140336,2.357137,4.351697,1.235644,2.356881,4.345442,1.330848,2.346596,4.326263,1.465281,2.328366,4.299405,1.560105,2.327885,4.356369,1.407957,2.2229,4.465024,1.397465,2.237953,4.550682,1.131725,2.231481,4.632188,0.907032,2.374502,4.312867,1.405323,2.486657,4.214039,1.380961,2.54866,4.236231,1.109186,2.515951,4.181007,0.879024,2.30201,4.429865,0.945609,2.176435,4.353573,0.569787,2.321209,4.540844,0.203929,2.262671,4.502793,0.040771,2.424257,4.328239,0.93786,2.43205,4.334172,0.534401,2.469565,4.377537,0.10204,2.355635,4.257353,0.018457
2.351375,4.359273,0.94088,2.352599,4.352817,1.036811,2.345618,4.33741,1.140013,2.345459,4.330923,1.23531,2.345006,4.324582,1.330508,2.334356,4.305374,1.464908,2.315589,4.278473,1.559616,2.315777,4.335502,1.407517,2.210791,4.4441,1.396461,2.230469,4.534593,1.132636,2.227264,4.620477,0.909595,2.362411,4.292015,1.405001,2.474755,4.193347,1.380876,2.538203,4.213857,1.109302,2.501165,4.149409,0.882274,2.289747,4.409401,0.945679,2.164986,4.321591,0.572164,2.291179,4.483811,0.187413,2.222508,4.430432,0.03299,2.413016,4.309065,0.937304,2.427086,4.325706,0.534337,2.468762,4.376886,0.103197,2.355632,4.257594,0.018265
2.339654,4.33935,0.939889,2.340962,4.332565,1.035797,2.333927,4.316857,1.138951,2.333599,4.310168,1.234232,2.3329,4.303668,1.329418,2.321823,4.284283,1.463757,2.302493,4.257279,1.558321,2.303406,4.314499,1.406313,2.198518,4.42316,1.394964,2.222529,4.518219,1.133076,2.222268,4.607599,0.911436,2.350051,4.27102,1.40389,2.46254,4.172501,1.379853,2.527098,4.190976,1.108401,2.486543,4.118249,0.884397,2.27755,4.388873,0.944879,2.154526,4.291033,0.573231,2.260368,4.425294,0.171998,2.182281,4.357248,0.027378,2.401772,4.289741,0.936123,2.421815,4.317017,0.534003,2.4679,4.376266,0.104357,2.355644,4.257784,0.018047
2.328074,4.3193,0.938128,2.329351,4.312375,1.034028,2.322159,4.296409,1.137131,2.321579,4.289486,1.232394,2.320557,4.282728,1.327558,2.308952,4.262952,1.461794,2.289027,4.235788,1.556188,2.29074,4.293336,1.404315,2.186071,4.402219,1.393061,2.214086,4.501327,1.133068,2.216664,4.59356,0.912584,2.337403,4.249874,1.401951,2.450036,4.151534,1.377855,2.515271,4.167379,1.106406,2.472037,4.087533,0.885291,2.265538,4.368278,0.943136,2.145077,4.262081,0.57288,2.228666,4.365255,0.157813,2.141841,4.283054,0.02398,2.390624,4.270233,0.934346,2.416217,4.30814,0.533389,2.467,4.375703,0.105518,2.355681,4.257854,0.017802
2.316526,4.299142,0.93562,2.317688,4.292205,1.03152,2.310265,4.276006,1.134571,2.309376,4.268823,1.229812,2.307983,4.261734,1.324948,2.295788,4.241418,1.459052,2.275241,4.214035,1.553249,2.277811,4.272036,1.401555,2.173459,4.381263,1.390665,2.205186,4.484149,1.132588,2.210282,4.578354,0.91301,2.324486,4.228585,1.399223,2.43722,4.130412,1.374918,2.502797,4.143275,1.103393,2.457694,4.057256,0.885059,2.253594,4.34762,0.940523,2.136616,4.234554,0.571218,2.196183,4.303732,0.144729,2.101337,4.208037,0.022751,2.379472,4.250575,0.931945,2.410311,4.299041,0.532505,2.466041,4.37517,0.106684,2.355732,4.257874,0.017532
2.304822,4.278724,0.932516,2.305774,4.271786,1.028418,2.298051,4.255368,1.131411,2.296811,4.247929,1.226629,2.295022,4.24051,1.321733,2.282204,4.219662,1.455698,2.261053,4.192084,1.549705,2.264511,4.250528,1.398201,2.160635,4.360249,1.387798,2.195589,4.466797,1.131625,2.202625,4.562094,0.912577,2.31115,4.207038,1.3959,2.423849,4.108879,1.371381,2.489628,4.118844,1.099776,2.443402,4.027877,0.883674,2.241535,4.326755,0.937249,2.129049,4.208566,0.568172,2.163829,4.241901,0.1347,2.06239,4.134269,0.025522,2.368122,4.230605,0.929014,2.404381,4.289599,0.531473,2.465067,4.37454,0.10801,2.355772,4.257881,0.017333
2.293056,4.258095,0.928734,2.293646,4.251124,1.024634,2.285512,4.23447,1.127557,2.283856,4.226756,1.222746,2.281628,4.21899,1.317812,2.268142,4.197605,1.451625,2.246415,4.169859,1.545451,2.250802,4.228746,1.394155,2.147652,4.339209,1.384514,2.185248,4.449429,1.130271,2.193622,4.544838,0.911296,2.297342,4.185151,1.391884,2.409844,4.086811,1.367183,2.475606,4.093985,1.09549,2.42902,3.999366,0.880971,2.229466,4.305745,0.933216,2.122533,4.184944,0.563297,2.130485,4.178628,0.128714,2.024805,4.060421,0.033835,2.356655,4.210357,0.925482,2.398865,4.280193,0.530355,2.464079,4.374002,0.109395,2.355791,4.257883,0.017256
2.281135,4.237206,0.924355,2.281268,4.230213,1.020256,2.272653,4.213339,1.123104,2.270538,4.205352,1.218261,2.267846,4.19724,1.313286,2.253661,4.175326,1.446941,2.231374,4.147435,1.540592,2.236721,4.206756,1.389515,2.134456,4.318111,1.380761,2.17421,4.431886,1.128433,2.183344,4.526528,0.909156,2.283115,4.163005,1.387274,2.395286,4.064332,1.362386,2.460891,4.068799,1.0906,2.41469,3.971753,0.877115,2.217283,4.284528,0.928522,2.116911,4.162862,0.557038,2.09727,4.115048,0.125783,1.988776,3.987824,0.046149,2.344989,4.189797,0.92142,2.393324,4.270443,0.529088,2.463076,4.373366,0.110941,2.355797,4.257873,0.01725
2.26859,4.215759,0.919783,2.268333,4.208778,1.015686,2.25929,4.191774,1.118477,2.256765,4.183617,1.213611,2.253651,4.175282,1.308605,2.238812,4.153047,1.442137,2.215992,4.125104,1.535644,2.222282,4.184686,1.384741,2.120837,4.296827,1.376401,2.162373,4.413803,1.125821,2.17151,4.507103,0.90599,2.268481,4.140728,1.382566,2.380172,4.041558,1.357507,2.445912,4.043762,1.08572,2.400718,3.945589,0.872574,2.204489,4.262765,0.923662,2.111622,4.139957,0.550658,2.068443,4.055742,0.124909,1.956506,3.922535,0.059672,2.332688,4.168667,0.917136,2.386727,4.259094,0.527604,2.462089,4.371935,0.113109,2.355796,4.257867,0.017262
